locus_tag	ftype	length_bp	gene	EC_number	COG	product
EIEOCHKN_00083	CDS	267				hypothetical protein
EIEOCHKN_00084	CDS	735	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
EIEOCHKN_00085	CDS	627	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
EIEOCHKN_00086	CDS	1137	sbcD			Nuclease SbcCD subunit D
EIEOCHKN_00087	CDS	3138	smc_1			Chromosome partition protein Smc
EIEOCHKN_00088	CDS	3198	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
EIEOCHKN_00089	CDS	924				hypothetical protein
EIEOCHKN_00090	CDS	2172				hypothetical protein
EIEOCHKN_00091	CDS	336				hypothetical protein
EIEOCHKN_00092	CDS	783				hypothetical protein
EIEOCHKN_00093	CDS	777				hypothetical protein
EIEOCHKN_00094	CDS	1026				hypothetical protein
EIEOCHKN_00095	CDS	714	yfnB_1	3.-.-.-	COG1011	Putative HAD-hydrolase YfnB
EIEOCHKN_00096	CDS	1716		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
EIEOCHKN_00097	CDS	1011	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
EIEOCHKN_00098	CDS	399	spxA_1		COG1393	Regulatory protein Spx
EIEOCHKN_00099	CDS	663	mecA		COG4862	Adapter protein MecA
EIEOCHKN_00100	CDS	1179				hypothetical protein
EIEOCHKN_00101	CDS	1812	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
EIEOCHKN_00102	CDS	660				hypothetical protein
EIEOCHKN_00103	CDS	579	yjbK	3.6.1.-	COG4116	Putative triphosphatase YjbK
EIEOCHKN_00104	CDS	675	yjbM	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
EIEOCHKN_00105	CDS	798	nadK	2.7.1.23	COG0061	NAD kinase
EIEOCHKN_00106	CDS	894	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
EIEOCHKN_00107	CDS	1362	mgtE		COG2239	Magnesium transporter MgtE
EIEOCHKN_00108	CDS	630	cutC		COG3142	Copper homeostasis protein CutC
EIEOCHKN_00109	CDS	846	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
EIEOCHKN_00110	CDS	507	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
EIEOCHKN_00111	CDS	645	pspA_1	3.1.3.3	COG0406	Phosphoserine phosphatase 1
EIEOCHKN_00112	CDS	2610	recD2	3.6.4.12		ATP-dependent RecD-like DNA helicase
EIEOCHKN_00113	CDS	960	ytlR	2.7.1.-	COG1597	Putative lipid kinase YtlR
EIEOCHKN_00114	CDS	507	queT_1		COG4708	Queuosine precursor transporter QueT
EIEOCHKN_00115	CDS	1206	femB	2.3.2.18		Aminoacyltransferase FemB
EIEOCHKN_00116	CDS	636				hypothetical protein
EIEOCHKN_00117	CDS	555	coaBC_1		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
EIEOCHKN_00118	CDS	774	coaBC_2	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
EIEOCHKN_00119	CDS	993	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
EIEOCHKN_00120	CDS	543	puuR			HTH-type transcriptional regulator PuuR
EIEOCHKN_00121	CDS	1086	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
EIEOCHKN_00122	CDS	807	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
EIEOCHKN_00123	CDS	837	ydcV_1			Inner membrane ABC transporter permease protein YdcV
EIEOCHKN_00124	CDS	1074	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
EIEOCHKN_00125	CDS	684				hypothetical protein
EIEOCHKN_00126	CDS	1293	gntP		COG2610	High-affinity gluconate transporter
EIEOCHKN_00127	CDS	1149	garK	2.7.1.165	COG1929	Glycerate 2-kinase
EIEOCHKN_00128	CDS	1014				hypothetical protein
EIEOCHKN_00129	CDS	903		2.7.1.-	COG1597	Putative lipid kinase
EIEOCHKN_00130	CDS	711				hypothetical protein
EIEOCHKN_00131	CDS	1710				hypothetical protein
EIEOCHKN_00132	CDS	1191	gbuA	7.6.2.9		Glycine betaine/carnitine transport ATP-binding protein GbuA
EIEOCHKN_00133	CDS	633				hypothetical protein
EIEOCHKN_00134	CDS	1947	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
EIEOCHKN_00135	CDS	651	rex_1		COG2344	Redox-sensing transcriptional repressor Rex
EIEOCHKN_00136	CDS	654	MroQ	3.4.22.-		Membrane-embedded CAAX protease MroQ
EIEOCHKN_00137	CDS	177				hypothetical protein
EIEOCHKN_00138	CDS	285	groS		COG0234	10 kDa chaperonin
EIEOCHKN_00139	CDS	1626	groL		COG0459	60 kDa chaperonin
EIEOCHKN_00140	CDS	720				hypothetical protein
EIEOCHKN_00141	CDS	711				hypothetical protein
EIEOCHKN_00142	CDS	1548				hypothetical protein
EIEOCHKN_00143	CDS	411				hypothetical protein
EIEOCHKN_00144	CDS	1485	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
EIEOCHKN_00145	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
EIEOCHKN_00146	CDS	1806	zosA_1	3.6.3.-	COG2217	Zinc-transporting ATPase
EIEOCHKN_00147	CDS	285				hypothetical protein
EIEOCHKN_00148	CDS	276	yjdJ		COG2388	putative protein YjdJ
EIEOCHKN_00149	CDS	237	secG		COG1314	putative protein-export membrane protein SecG
EIEOCHKN_00150	CDS	765	est	3.1.1.1		Carboxylesterase
EIEOCHKN_00151	CDS	2370	rnr	3.1.13.1	COG0557	Ribonuclease R
EIEOCHKN_00152	CDS	465	smpB		COG0691	SsrA-binding protein
EIEOCHKN_00153	CDS	720	atpB			ATP synthase subunit a
EIEOCHKN_00154	CDS	222	atpE_1			ATP synthase subunit c
EIEOCHKN_00155	CDS	531	atpF		COG0711	ATP synthase subunit b
EIEOCHKN_00156	CDS	543	atpH		COG0712	ATP synthase subunit delta
EIEOCHKN_00157	CDS	1557	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
EIEOCHKN_00158	CDS	909	atpG		COG0224	ATP synthase gamma chain
EIEOCHKN_00159	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
EIEOCHKN_00160	CDS	420	atpC		COG0355	ATP synthase epsilon chain
EIEOCHKN_00161	CDS	237				hypothetical protein
EIEOCHKN_00162	CDS	1302	murA1_1	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
EIEOCHKN_00163	CDS	177				hypothetical protein
EIEOCHKN_00164	CDS	369				hypothetical protein
EIEOCHKN_00165	CDS	1170			COG0628	Putative transport protein
EIEOCHKN_00166	CDS	627	azoR	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
EIEOCHKN_00167	CDS	843	licT_1		COG3711	Transcription antiterminator LicT
EIEOCHKN_00168	CDS	1881	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
EIEOCHKN_00169	CDS	1446	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
EIEOCHKN_00170	CDS	570	gmk_1	2.7.4.8		Guanylate kinase
EIEOCHKN_00171	CDS	678				hypothetical protein
EIEOCHKN_00172	CDS	1728			COG1132	putative ABC transporter ATP-binding protein
EIEOCHKN_00173	CDS	1869		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
EIEOCHKN_00174	CDS	846	catE	1.13.11.2	COG2514	Catechol-2,3-dioxygenase
EIEOCHKN_00175	CDS	1044	yfeW_1	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
EIEOCHKN_00176	CDS	972	yvyI	5.3.1.8	COG1482	Putative mannose-6-phosphate isomerase YvyI
EIEOCHKN_00177	CDS	546				hypothetical protein
EIEOCHKN_00178	CDS	981	rihA	3.2.-.-	COG1957	Pyrimidine-specific ribonucleoside hydrolase RihA
EIEOCHKN_00179	CDS	693	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
EIEOCHKN_00180	CDS	1353	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
EIEOCHKN_00181	CDS	639	dauR_1		COG2964	Transcriptional regulator DauR
EIEOCHKN_00182	CDS	1335	ssnA	3.-.-.-	COG0402	Putative aminohydrolase SsnA
EIEOCHKN_00183	CDS	3006	ygfK		COG0493	Putative oxidoreductase YgfK
EIEOCHKN_00184	CDS	1374		3.5.2.-		D-hydantoinase
EIEOCHKN_00185	CDS	1194	dpaL	4.3.1.15	COG1171	Diaminopropionate ammonia-lyase
EIEOCHKN_00186	CDS	1311	dapE_1	3.5.1.18		putative succinyl-diaminopimelate desuccinylase
EIEOCHKN_00187	CDS	1194	ygeW	2.1.3.-	COG0078	Putative carbamoyltransferase YgeW
EIEOCHKN_00188	CDS	945	arcC1_1	2.7.2.2		Carbamate kinase 1
EIEOCHKN_00189	CDS	381	yabJ_1	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
EIEOCHKN_00190	CDS	1320				Nucleobase transporter PlUacP
EIEOCHKN_00191	CDS	360				hypothetical protein
EIEOCHKN_00192	CDS	1008	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
EIEOCHKN_00193	CDS	2574				hypothetical protein
EIEOCHKN_00194	CDS	582	pucB		COG2068	Purine catabolism protein PucB
EIEOCHKN_00195	CDS	1149	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase SufS
EIEOCHKN_00196	CDS	1023	selD	2.7.9.3	COG0709	Selenide, water dikinase
EIEOCHKN_00197	CDS	588				hypothetical protein
EIEOCHKN_00198	CDS	258				hypothetical protein
EIEOCHKN_00199	CDS	756				hypothetical protein
EIEOCHKN_00200	CDS	831				hypothetical protein
EIEOCHKN_00201	CDS	465			COG0716	Flavodoxin
EIEOCHKN_00202	CDS	840			COG0543	Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit 
EIEOCHKN_00203	CDS	1419	gltD	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
EIEOCHKN_00204	CDS	3534		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
EIEOCHKN_00205	CDS	1416	ntpJ_1			Potassium/sodium uptake protein NtpJ
EIEOCHKN_00206	CDS	1518		1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
EIEOCHKN_00207	CDS	585	tdk	2.7.1.21	COG1435	Thymidine kinase
EIEOCHKN_00208	CDS	1074	prfA		COG0216	Peptide chain release factor 1
EIEOCHKN_00209	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
EIEOCHKN_00210	CDS	1023	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
EIEOCHKN_00211	CDS	1239	glyA	2.1.2.1		Serine hydroxymethyltransferase
EIEOCHKN_00212	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
EIEOCHKN_00213	CDS	273				hypothetical protein
EIEOCHKN_00214	CDS	237				hypothetical protein
EIEOCHKN_00215	tRNA	73				tRNA-Thr(cgt)
EIEOCHKN_00216	CDS	327				hypothetical protein
EIEOCHKN_00217	CDS	708	ygaZ		COG1296	Inner membrane protein YgaZ
EIEOCHKN_00218	CDS	552	sutR		COG1396	HTH-type transcriptional regulator SutR
EIEOCHKN_00219	CDS	1332				hypothetical protein
EIEOCHKN_00220	CDS	4740				hypothetical protein
EIEOCHKN_00221	CDS	702				hypothetical protein
EIEOCHKN_00222	CDS	1437				hypothetical protein
EIEOCHKN_00223	CDS	1188	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
EIEOCHKN_00224	CDS	360	spxA_2		COG1393	Regulatory protein Spx
EIEOCHKN_00225	CDS	324				Glycine cleavage system H-like protein
EIEOCHKN_00226	CDS	1038	metN2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN 2
EIEOCHKN_00227	CDS	687	metP_1		COG2011	Methionine import system permease protein MetP
EIEOCHKN_00228	CDS	819	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
EIEOCHKN_00229	CDS	816	uppS	2.5.1.31	COG0020	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
EIEOCHKN_00230	CDS	801				hypothetical protein
EIEOCHKN_00231	CDS	1170	tarF	2.7.8.45	COG1887	Teichoic acid glycerol-phosphate transferase
EIEOCHKN_00232	CDS	1467				hypothetical protein
EIEOCHKN_00233	CDS	2511	arnC_1	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
EIEOCHKN_00234	CDS	852				hypothetical protein
EIEOCHKN_00235	CDS	2454	murB_2	1.3.1.98		UDP-N-acetylenolpyruvoylglucosamine reductase
EIEOCHKN_00236	CDS	399				hypothetical protein
EIEOCHKN_00237	CDS	1140	glf	5.4.99.9	COG0562	UDP-galactopyranose mutase
EIEOCHKN_00238	CDS	1344	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
EIEOCHKN_00239	CDS	813	tagG_1		COG1682	Teichoic acid translocation permease protein TagG
EIEOCHKN_00240	CDS	651				hypothetical protein
EIEOCHKN_00241	CDS	228				hypothetical protein
EIEOCHKN_00242	CDS	732	gph_1	3.1.3.18		Phosphoglycolate phosphatase
EIEOCHKN_00243	CDS	744				hypothetical protein
EIEOCHKN_00244	CDS	810				hypothetical protein
EIEOCHKN_00245	CDS	1146				hypothetical protein
EIEOCHKN_00246	CDS	1233				hypothetical protein
EIEOCHKN_00247	CDS	2043	mrdA	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
EIEOCHKN_00248	CDS	720	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
EIEOCHKN_00249	CDS	543	rimI	2.3.1.255	COG0456	N-alpha-acetyltransferase RimI
EIEOCHKN_00250	CDS	465	wecD	2.3.1.210		dTDP-fucosamine acetyltransferase
EIEOCHKN_00251	CDS	1047	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
EIEOCHKN_00252	CDS	1692	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
EIEOCHKN_00253	CDS	501				hypothetical protein
EIEOCHKN_00254	CDS	324				hypothetical protein
EIEOCHKN_00255	CDS	249				hypothetical protein
EIEOCHKN_00256	CDS	1266	eriC		COG0038	Chloride/fluoride channel protein
EIEOCHKN_00257	CDS	279				hypothetical protein
EIEOCHKN_00258	CDS	783	cysQ	3.1.3.7		3'(2'),5'-bisphosphate nucleotidase CysQ
EIEOCHKN_00259	CDS	1836	typA		COG1217	GTP-binding protein TypA/BipA 
EIEOCHKN_00260	CDS	1770	recQ_1	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
EIEOCHKN_00261	CDS	306				hypothetical protein
EIEOCHKN_00262	CDS	1209	ftsW_1	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
EIEOCHKN_00263	CDS	3429	pycA	6.4.1.1		Pyruvate carboxylase
EIEOCHKN_00264	CDS	1125				hypothetical protein
EIEOCHKN_00265	CDS	435				hypothetical protein
EIEOCHKN_00266	CDS	351				hypothetical protein
EIEOCHKN_00267	CDS	654	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
EIEOCHKN_00268	CDS	492	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
EIEOCHKN_00269	CDS	1053	ylbL		COG3480	putative protein YlbL
EIEOCHKN_00270	CDS	645	comEA		COG1555	ComE operon protein 1
EIEOCHKN_00271	CDS	504	tadA_1	3.5.4.33		tRNA-specific adenosine deaminase
EIEOCHKN_00272	CDS	2130	comEC		COG0658	ComE operon protein 3
EIEOCHKN_00273	CDS	1029	yqeN		COG1466	putative protein YqeN
EIEOCHKN_00274	CDS	942	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
EIEOCHKN_00275	CDS	537				hypothetical protein
EIEOCHKN_00276	CDS	252	rpsT			30S ribosomal protein S20
EIEOCHKN_00277	CDS	1014				hypothetical protein
EIEOCHKN_00278	CDS	624				hypothetical protein
EIEOCHKN_00279	CDS	786		3.5.1.-	COG3394	Carbohydrate deacetylase
EIEOCHKN_00280	CDS	831	uppP	3.6.1.27		Undecaprenyl-diphosphatase
EIEOCHKN_00281	CDS	495	crr_1			PTS system glucose-specific EIIA component
EIEOCHKN_00282	CDS	1110				hypothetical protein
EIEOCHKN_00283	CDS	891	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
EIEOCHKN_00284	CDS	1455				PTS system EIIBC component
EIEOCHKN_00285	CDS	849	ybbH_1		COG1737	putative HTH-type transcriptional regulator YbbH
EIEOCHKN_00286	CDS	705	gpmA_1	5.4.2.11		2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
EIEOCHKN_00287	CDS	627		3.-.-.-		putative metallo-hydrolase
EIEOCHKN_00288	CDS	1386	guaD	3.5.4.3	COG0402	Guanine deaminase
EIEOCHKN_00289	CDS	1332	pucK		COG2233	Uric acid permease PucK
EIEOCHKN_00290	CDS	978	guaC	1.7.1.7	COG0516	GMP reductase
EIEOCHKN_00291	CDS	333				hypothetical protein
EIEOCHKN_00292	CDS	1029				hypothetical protein
EIEOCHKN_00293	CDS	1452	norG		COG1167	HTH-type transcriptional regulator NorG
EIEOCHKN_00294	CDS	1725	pgcA	5.4.2.2		Phosphoglucomutase
EIEOCHKN_00295	CDS	783	proC_1	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
EIEOCHKN_00296	CDS	288	czrA		COG0640	HTH-type transcriptional repressor CzrA
EIEOCHKN_00297	CDS	1293	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
EIEOCHKN_00298	CDS	1056	thrC	4.2.3.1	COG0498	Threonine synthase
EIEOCHKN_00299	CDS	864	thrB	2.7.1.39	COG0083	Homoserine kinase
EIEOCHKN_00300	CDS	858	yqfL_1	2.7.11.32	COG1806	Putative pyruvate, phosphate dikinase regulatory protein
EIEOCHKN_00301	CDS	435	zur		COG0735	Zinc-specific metallo-regulatory protein
EIEOCHKN_00302	CDS	177	rpsU		COG0828	30S ribosomal protein S21
EIEOCHKN_00303	CDS	450	yqeY		COG1610	putative protein YqeY
EIEOCHKN_00304	CDS	975			COG1702	PhoH-like protein
EIEOCHKN_00305	CDS	2199	pgpH	3.1.4.59		Cyclic-di-AMP phosphodiesterase PgpH
EIEOCHKN_00306	CDS	480	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
EIEOCHKN_00307	CDS	408	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
EIEOCHKN_00308	CDS	903	era		COG1159	GTPase Era
EIEOCHKN_00309	CDS	789	recO		COG1381	DNA repair protein RecO
EIEOCHKN_00310	CDS	909	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
EIEOCHKN_00311	CDS	2085	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
EIEOCHKN_00312	CDS	192				hypothetical protein
EIEOCHKN_00313	CDS	933	yidC			Membrane protein insertase YidC
EIEOCHKN_00314	CDS	276	acyP	3.6.1.7	COG1254	Acylphosphatase
EIEOCHKN_00315	CDS	777		2.1.1.-		Putative TrmH family tRNA/rRNA methyltransferase
EIEOCHKN_00316	CDS	438				hypothetical protein
EIEOCHKN_00317	CDS	786	rpsB		COG0052	30S ribosomal protein S2
EIEOCHKN_00318	CDS	882	tsf			Elongation factor Ts
EIEOCHKN_00319	CDS	726	pyrH	2.7.4.22	COG0528	Uridylate kinase
EIEOCHKN_00320	CDS	558	frr			Ribosome-recycling factor
EIEOCHKN_00321	CDS	771				putative ABC transporter ATP-binding protein
EIEOCHKN_00322	CDS	1287				hypothetical protein
EIEOCHKN_00323	CDS	1236	sufS_2	2.8.1.7	COG0520	Cysteine desulfurase SufS
EIEOCHKN_00324	CDS	468	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
EIEOCHKN_00325	CDS	1395				hypothetical protein
EIEOCHKN_00326	CDS	603				hypothetical protein
EIEOCHKN_00327	CDS	780	gdh_1	1.1.1.47	COG1028	Glucose 1-dehydrogenase
EIEOCHKN_00328	CDS	1269	rasP	3.4.24.-	COG0750	Regulator of sigma-W protease RasP
EIEOCHKN_00329	CDS	1719	proS	6.1.1.15	COG0442	Proline--tRNA ligase
EIEOCHKN_00330	CDS	4356	polC_2	2.7.7.7	COG2176	DNA polymerase III PolC-type
EIEOCHKN_00331	CDS	1458	ycaM		COG0531	Inner membrane transporter YcaM
EIEOCHKN_00332	CDS	1377				hypothetical protein
